 
# QPROP Version 1.22
# 
# Helice24x15                                                                     
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    29.000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   2175.      0.000   52.59       2.477       564.2      15.205   78.2891   0.4740   0.0000   0.00000  0.6312E-13  0.9836E-17   0.0173   0.0000   1190.       0.000       1.3161  0.3876E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0505  0.0363  34.634   1.4876  0.14037    26373  0.031   0.0000   0.7863   4.160       23.18      0.7150E-04
   0.0608  0.0438  40.298   1.4603  0.20911    38401  0.037   0.0000   0.7024   4.980       23.02      0.8539E-04
   0.0710  0.0513  41.047   1.4556  0.21309    52552  0.044   0.0000   0.6973   5.817       22.99      0.9971E-04
   0.0813  0.0572  38.482   1.4694  0.16586    67184  0.050   0.0000   0.7510   6.618       22.81      0.1131E-03
   0.0916  0.0608  34.864   1.4835  0.11739    80767  0.057   0.0000   0.8110   7.320       22.29      0.1242E-03
   0.1019  0.0622  32.044   1.4903  0.09167    92376  0.064   0.0000   0.8437   7.895       21.45      0.1324E-03
   0.1121  0.0613  29.689   1.4937  0.07761   100966  0.070   0.0000   0.8602   8.328       20.35      0.1376E-03
   0.1224  0.0593  27.551   1.4958  0.06802   107439  0.077   0.0000   0.8705   8.662       19.21      0.1411E-03
   0.1327  0.0576  25.701   1.4973  0.06061   113792  0.084   0.0000   0.8786   8.974       18.22      0.1445E-03
   0.1430  0.0558  24.075   1.4825  0.03952   119442  0.091   0.0000   0.9132   9.203       17.21      0.1465E-03
   0.1532  0.0538  22.626   1.4382  0.03642   124122  0.099   0.0000   0.9126   9.297       16.09      0.1463E-03
   0.1635  0.0517  21.335   1.4001  0.03400   128001  0.106   0.0000   0.9114   9.363       15.09      0.1459E-03
   0.1738  0.0497  20.179   1.3670  0.03208   131158  0.113   0.0000   0.9096   9.406       14.19      0.1454E-03
   0.1841  0.0476  19.136   1.3380  0.03053   133690  0.120   0.0000   0.9074   9.430       13.37      0.1447E-03
   0.1944  0.0456  18.193   1.3122  0.02927   135702  0.127   0.0000   0.9049   9.439       12.62      0.1440E-03
   0.2046  0.0437  17.335   1.2894  0.02823   137232  0.134   0.0000   0.9020   9.435       11.94      0.1432E-03
   0.2149  0.0419  16.552   1.2691  0.02738   138289  0.141   0.0000   0.8988   9.418       11.32      0.1423E-03
   0.2252  0.0400  15.836   1.2516  0.02672   138769  0.148   0.0000   0.8952   9.389       10.74      0.1413E-03
   0.2355  0.0381  15.177   1.2374  0.02628   138436  0.155   0.0000   0.8910   9.341       10.19      0.1401E-03
   0.2457  0.0362  14.570   1.2259  0.02600   137386  0.162   0.0000   0.8862   9.278       9.681      0.1387E-03
   0.2560  0.0340  14.009   1.2199  0.02606   134691  0.169   0.0000   0.8801   9.178       9.174      0.1368E-03
   0.2663  0.0312  13.488   1.2234  0.02675   128958  0.176   0.0000   0.8713   9.007       8.639      0.1339E-03
   0.2766  0.0293  13.004   1.2199  0.02700   125525  0.183   0.0000   0.8640   8.885       8.192      0.1317E-03
   0.2868  0.0253  12.553   1.2454  0.02938   112971  0.190   0.0000   0.8465   8.530       7.568      0.1261E-03
   0.2971  0.0128  12.132   1.4465  0.05330    59316  0.198   0.0000   0.7277   6.688       5.700      0.9811E-04
