 
# QPROP Version 1.22
# 
# helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   2000.      0.000   44.44       2.076       434.9      12.572   42.6148   0.8118   0.0000   0.00000  0.6307E-13  0.9751E-17   0.0159   0.0000   535.7       0.000       1.3148  0.3655E-01
    1.000   2000.      0.000   42.99       2.074       434.5      12.570   42.5734   0.8119   0.0990   0.00002  0.6102E-13  0.9741E-17   0.0001   0.0803   535.1       42.99       1.2655  0.3246E-01
    2.000   2000.      0.000   41.35       2.061       431.6      12.557   42.3045   0.8125   0.1916   0.00003  0.5869E-13  0.9678E-17   0.0001   0.1557   531.2       82.70       1.2098  0.2851E-01
    3.000   2000.      0.000   39.52       2.039       427.0      12.536   41.8604   0.8136   0.2777   0.00005  0.5609E-13  0.9573E-17   0.0000   0.2259   524.7       118.6       1.1484  0.2555E-01
    4.000   2000.      0.000   37.52       2.006       420.1      12.504   41.2049   0.8153   0.3573   0.00006  0.5325E-13  0.9418E-17   0.0000   0.2913   515.2       150.1       1.0819  0.2307E-01
    5.000   2000.      0.000   35.33       1.960       410.5      12.461   40.3012   0.8175   0.4303   0.00008  0.5015E-13  0.9205E-17   0.0000   0.3518   502.2       176.7       1.0100  0.2109E-01
    6.000   2000.      0.000   32.99       1.904       398.7      12.407   39.1747   0.8203   0.4965   0.00009  0.4683E-13  0.8939E-17   0.0000   0.4073   486.0       197.9       0.9342  0.1990E-01
    7.000   2000.      0.000   30.52       1.836       384.5      12.342   37.8269   0.8236   0.5556   0.00011  0.4331E-13  0.8621E-17   0.0000   0.4575   466.9       213.6       0.8557  0.1921E-01
    8.000   2000.      0.000   27.91       1.756       367.8      12.266   36.2372   0.8274   0.6071   0.00013  0.3961E-13  0.8246E-17   0.0000   0.5023   444.5       223.2       0.7747  0.1908E-01
    9.000   2000.      0.000   25.17       1.664       348.5      12.178   34.4094   0.8317   0.6499   0.00014  0.3572E-13  0.7814E-17   0.0000   0.5406   419.0       226.5       0.6917  0.1974E-01
   10.000   2000.      0.000   22.30       1.559       326.5      12.078   32.3219   0.8365   0.6829   0.00016  0.3165E-13  0.7322E-17   0.0000   0.5713   390.4       223.0       0.6069  0.2113E-01
   11.000   2000.      0.000   19.29       1.440       301.6      11.964   29.9477   0.8417   0.7036   0.00017  0.2738E-13  0.6761E-17   0.0000   0.5922   358.3       212.2       0.5202  0.2339E-01
   12.000   2000.      0.000   16.13       1.305       273.3      11.835   27.2630   0.8470   0.7080   0.00019  0.2289E-13  0.6128E-17   0.0000   0.5997   322.7       193.5       0.4318  0.2655E-01
   13.000   2000.      0.000   12.83       1.155       241.8      11.691   24.2737   0.8521   0.6894   0.00021  0.1820E-13  0.5422E-17   0.0000   0.5875   283.8       166.7       0.3425  0.3080E-01
   14.000   2000.      0.000   9.393      0.9873       206.8      11.532   20.9435   0.8562   0.6360   0.00022  0.1333E-13  0.4636E-17   0.0000   0.5445   241.5       131.5       0.2527  0.3581E-01
   15.000   2000.      0.000   5.801      0.8018       167.9      11.354   17.2532   0.8572   0.5182   0.00024  0.8234E-14  0.3765E-17   0.0000   0.4442   195.9       87.02       0.1620  0.4203E-01
   16.000   2000.      0.000   2.188      0.6263       131.2      11.187   13.7606   0.8521   0.2669   0.00025  0.3105E-14  0.2941E-17   0.0000   0.2274   153.9       35.00       0.0771  0.5248E-01
   17.000   2000.      0.000 -0.5400      0.5714       119.7      11.134   12.6692   0.8484  -0.0767   0.00027 -0.7665E-15  0.2683E-17   0.0000  -0.0651   141.1      -9.181       0.0211  0.6950E-01
   18.000   2000.      0.000  -1.912      0.6749       141.3      11.233   14.7274   0.8544  -0.2435   0.00028 -0.2714E-14  0.3169E-17   0.0000  -0.2081   165.4      -34.42       0.0003  0.8922E-01
   19.000   2000.      0.000  -2.354      0.7734       162.0      11.327   16.6887   0.8569  -0.2761   0.00030 -0.3341E-14  0.3632E-17   0.0000  -0.2366   189.0      -44.72       0.0000  0.1021    
   20.000   2000.      0.000  -2.847      0.8763       183.5      11.426   18.7350   0.8574  -0.3103   0.00032 -0.4042E-14  0.4115E-17   0.0000  -0.2660   214.1      -56.95       0.0000  0.1157    

