 
# QPROP Version 1.22
# 
# Helice24x15                                                                     
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
  -20.000   2000.     -4.000   57.48      0.7179       150.3      11.274   15.5832   0.8558  -7.6465  -0.00032  0.8159E-13  0.3371E-17  40.0000  -6.5436   175.7      -1150.       1.4390  0.2278    
  -19.000   2000.     -4.000   56.86      0.7406       155.1      11.296   16.0361   0.8563  -6.9646  -0.00030  0.8071E-13  0.3478E-17  38.0000  -5.9639   181.1      -1080.       1.4433  0.2160    
  -18.000   2000.     -4.000   56.27      0.7667       160.6      11.321   16.5543   0.8568  -6.3081  -0.00028  0.7987E-13  0.3600E-17  36.0000  -5.4048   187.4      -1013.       1.4476  0.2042    
  -17.000   2000.     -4.000   55.72      0.7961       166.7      11.349   17.1404   0.8572  -5.6813  -0.00027  0.7909E-13  0.3739E-17  34.0000  -4.8698   194.5      -947.3       1.4518  0.1926    
  -16.000   2000.     -4.000   55.21      0.8291       173.7      11.381   17.7970   0.8574  -5.0873  -0.00025  0.7837E-13  0.3894E-17  32.0000  -4.3617   202.5      -883.4       1.4559  0.1812    
  -15.000   2000.     -4.000   54.74      0.8658       181.3      11.416   18.5266   0.8574  -4.5283  -0.00024  0.7770E-13  0.4066E-17  30.0000  -3.8825   211.5      -821.1       1.4599  0.1700    
  -14.000   2000.     -4.000   54.31      0.9063       189.8      11.454   19.3322   0.8572  -4.0056  -0.00022  0.7709E-13  0.4256E-17  28.0000  -3.4336   221.4      -760.3       1.4638  0.1590    
  -13.000   2000.     -4.000   46.16       1.305       273.4      11.835   27.2724   0.8470  -2.1949  -0.00021  0.6552E-13  0.6130E-17  26.0000  -1.8590   322.8      -600.1       1.3814  0.6910E-01
  -12.000   2000.     -4.000   45.64       1.313       275.0      11.843   27.4227   0.8467  -1.9920  -0.00019  0.6479E-13  0.6165E-17  24.0000  -1.6866   324.8      -547.7       1.3687  0.6248E-01
  -11.000   2000.     -4.000   45.15       1.330       278.5      11.859   27.7556   0.8461  -1.7834  -0.00017  0.6408E-13  0.6244E-17  22.0000  -1.5089   329.1      -496.6       1.3531  0.5942E-01
  -10.000   2000.     -4.000   44.56       1.340       280.6      11.868   27.9599   0.8457  -1.5878  -0.00016  0.6325E-13  0.6292E-17  20.0000  -1.3428   331.8      -445.6       1.3361  0.5406E-01
   -9.000   2000.     -4.000   43.96       1.357       284.2      11.885   28.3011   0.8450  -1.3921  -0.00014  0.6240E-13  0.6373E-17  18.0000  -1.1763   336.4      -395.7       1.3166  0.5120E-01
   -8.000   2000.     -4.000   43.28       1.369       286.7      11.896   28.5341   0.8446  -1.2079  -0.00013  0.6144E-13  0.6428E-17  16.0000  -1.0201   339.4      -346.3       1.2943  0.4763E-01
   -7.000   2000.     -4.000   42.50       1.380       289.0      11.906   28.7536   0.8441  -1.0296  -0.00011  0.6033E-13  0.6479E-17  14.0000  -0.8691   342.4      -297.5       1.2697  0.4328E-01
   -6.000   2000.     -4.000   41.68       1.391       291.3      11.917   28.9761   0.8437  -0.8584  -0.00009  0.5916E-13  0.6532E-17  12.0000  -0.7242   345.3      -250.1       1.2423  0.3999E-01
   -5.000   2000.     -4.000   40.75       1.403       293.8      11.929   29.2148   0.8432  -0.6935  -0.00008  0.5784E-13  0.6588E-17  10.0000  -0.5847   348.5      -203.8       1.2117  0.3732E-01
   -4.000   2000.     -4.000   39.72       1.410       295.3      11.935   29.3532   0.8429  -0.5381  -0.00006  0.5638E-13  0.6621E-17   8.0000  -0.4535   350.3      -158.9       1.1776  0.3420E-01
   -3.000   2000.     -4.000   38.59       1.415       296.3      11.940   29.4451   0.8427  -0.3907  -0.00005  0.5477E-13  0.6643E-17   6.0000  -0.3293   351.6      -115.8       1.1401  0.3126E-01
   -2.000   2000.     -4.000   37.33       1.416       296.6      11.941   29.4744   0.8426  -0.2518  -0.00003  0.5299E-13  0.6650E-17   4.0001  -0.2122   352.0      -74.67       1.0989  0.2854E-01
   -1.000   2000.     -4.000   35.95       1.413       296.0      11.939   29.4207   0.8428  -0.1215  -0.00002  0.5103E-13  0.6637E-17   2.0001  -0.1024   351.2      -35.95       1.0538  0.2610E-01
    0.000   2000.     -4.000   34.43       1.406       294.4      11.931   29.2667   0.8431   0.0000   0.00000  0.4887E-13  0.6601E-17   0.0140   0.0000   349.2       0.000       1.0045  0.2400E-01
    1.000   2000.     -4.000   32.77       1.392       291.5      11.918   28.9949   0.8436   0.1124   0.00002  0.4651E-13  0.6536E-17   0.0001   0.0948   345.6       32.77       0.9508  0.2224E-01
    2.000   2000.     -4.000   30.95       1.372       287.3      11.899   28.5980   0.8444   0.2154   0.00003  0.4393E-13  0.6443E-17   0.0000   0.1819   340.3       61.90       0.8930  0.2111E-01
    3.000   2000.     -4.000   28.98       1.343       281.3      11.871   28.0245   0.8456   0.3091   0.00005  0.4114E-13  0.6307E-17   0.0000   0.2613   332.7       86.94       0.8306  0.2005E-01
    4.000   2000.     -4.000   26.83       1.305       273.4      11.835   27.2707   0.8470   0.3926   0.00006  0.3808E-13  0.6129E-17   0.0000   0.3325   322.8       107.3       0.7634  0.1982E-01
    5.000   2000.     -4.000   24.54       1.259       263.7      11.791   26.3548   0.8487   0.4652   0.00008  0.3483E-13  0.5913E-17   0.0000   0.3948   310.8       122.7       0.6930  0.2011E-01
    6.000   2000.     -4.000   22.10       1.204       252.2      11.739   25.2581   0.8506   0.5258   0.00009  0.3137E-13  0.5655E-17   0.0000   0.4473   296.5       132.6       0.6196  0.2099E-01
    7.000   2000.     -4.000   19.51       1.139       238.5      11.676   23.9602   0.8526   0.5727   0.00011  0.2770E-13  0.5348E-17   0.0000   0.4883   279.8       136.6       0.5431  0.2255E-01
    8.000   2000.     -4.000   16.79       1.063       222.7      11.604   22.4536   0.8546   0.6031   0.00013  0.2383E-13  0.4993E-17   0.0000   0.5154   260.6       134.3       0.4643  0.2495E-01
    9.000   2000.     -4.000   13.91      0.9754       204.3      11.520   20.7066   0.8564   0.6127   0.00014  0.1974E-13  0.4580E-17   0.0000   0.5247   238.5       125.2       0.3831  0.2812E-01
   10.000   2000.     -4.000   10.86      0.8741       183.1      11.424   18.6916   0.8574   0.5934   0.00016  0.1542E-13  0.4105E-17   0.0000   0.5088   213.5       108.6       0.2995  0.3217E-01
   11.000   2000.     -4.000   7.654      0.7587       158.9      11.313   16.3956   0.8567   0.5299   0.00017  0.1086E-13  0.3563E-17   0.0000   0.4539   185.5       84.20       0.2138  0.3731E-01
   12.000   2000.     -4.000   4.308      0.6286       131.7      11.189   13.8077   0.8522   0.3926   0.00019  0.6114E-14  0.2952E-17   0.0000   0.3346   154.5       51.69       0.1272  0.4325E-01
   13.000   2000.     -4.000  0.7826      0.4821       101.0      11.049   10.8921   0.8390   0.1008   0.00021  0.1111E-14  0.2264E-17   0.0000   0.0845   120.3       10.17       0.0389  0.5042E-01
