 
# QPROP Version 1.22
# 
# Helice24x15                                                                     
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   2182.      0.000   52.96       2.465       563.3      13.901   50.3466   0.8048   0.0000   0.00000  0.6316E-13  0.9725E-17   0.0174   0.0000   699.9       0.000       1.3162  0.3533E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0505  0.0363  34.634   1.4876  0.13131    26458  0.031   0.0000   0.7977   4.173       23.18      0.7150E-04
   0.0608  0.0438  40.298   1.4603  0.20188    38525  0.038   0.0000   0.7102   4.996       23.02      0.8539E-04
   0.0710  0.0513  41.047   1.4556  0.20695    52721  0.044   0.0000   0.7038   5.836       22.99      0.9971E-04
   0.0813  0.0572  38.482   1.4694  0.16032    67400  0.050   0.0000   0.7576   6.639       22.81      0.1131E-03
   0.0916  0.0608  34.864   1.4835  0.11224    81027  0.057   0.0000   0.8180   7.344       22.29      0.1242E-03
   0.1019  0.0622  32.044   1.4903  0.08680    92674  0.064   0.0000   0.8509   7.921       21.45      0.1324E-03
   0.1121  0.0613  29.689   1.4937  0.07294   101291  0.071   0.0000   0.8677   8.354       20.35      0.1376E-03
   0.1224  0.0593  27.551   1.4958  0.06348   107784  0.078   0.0000   0.8782   8.690       19.21      0.1411E-03
   0.1327  0.0576  25.701   1.4973  0.05619   114158  0.085   0.0000   0.8866   9.003       18.22      0.1445E-03
   0.1430  0.0558  24.075   1.4825  0.03529   119826  0.092   0.0000   0.9218   9.233       17.21      0.1465E-03
   0.1532  0.0538  22.626   1.4382  0.03252   124521  0.099   0.0000   0.9213   9.327       16.09      0.1463E-03
   0.1635  0.0517  21.335   1.4001  0.03036   128413  0.106   0.0000   0.9202   9.394       15.09      0.1459E-03
   0.1738  0.0497  20.179   1.3670  0.02865   131580  0.113   0.0000   0.9186   9.437       14.19      0.1454E-03
   0.1841  0.0476  19.136   1.3380  0.02727   134120  0.120   0.0000   0.9166   9.461       13.37      0.1447E-03
   0.1944  0.0456  18.193   1.3123  0.02614   136139  0.127   0.0000   0.9142   9.469       12.62      0.1440E-03
   0.2046  0.0437  17.335   1.2894  0.02521   137674  0.135   0.0000   0.9116   9.465       11.94      0.1432E-03
   0.2149  0.0419  16.552   1.2692  0.02445   138734  0.142   0.0000   0.9087   9.449       11.32      0.1423E-03
   0.2252  0.0400  15.836   1.2516  0.02387   139215  0.149   0.0000   0.9054   9.419       10.74      0.1413E-03
   0.2355  0.0381  15.177   1.2374  0.02347   138881  0.156   0.0000   0.9015   9.371       10.19      0.1401E-03
   0.2457  0.0362  14.570   1.2260  0.02322   137828  0.163   0.0000   0.8972   9.308       9.681      0.1387E-03
   0.2560  0.0340  14.009   1.2199  0.02327   135124  0.170   0.0000   0.8916   9.208       9.174      0.1368E-03
   0.2663  0.0312  13.488   1.2234  0.02389   129373  0.177   0.0000   0.8835   9.036       8.639      0.1339E-03
   0.2766  0.0293  13.004   1.2200  0.02411   125929  0.184   0.0000   0.8768   8.914       8.193      0.1317E-03
   0.2868  0.0253  12.553   1.2455  0.02624   113335  0.191   0.0000   0.8607   8.558       7.568      0.1261E-03
   0.2971  0.0128  12.132   1.4466  0.04761    59507  0.199   0.0000   0.7496   6.710       5.700      0.9811E-04
