 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   8031.      0.000   27.70      0.6836       574.9      42.984   14.9020   0.8976   0.5781   0.07490  0.1545E-01  0.2002E-02  11.2513   0.5189   640.5       332.4       0.7698  0.1242E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0411  0.0600  32.904   0.7720  0.01202   149024  0.106   0.6252   0.9643   17.50       9.890      0.1198    
   0.0472  0.0582  29.271   0.7308  0.01114   164148  0.121   0.6257   0.9623   17.82       8.960      0.1197    
   0.0533  0.0552  26.300   0.7008  0.01062   174666  0.135   0.6279   0.9594   18.02       8.101      0.1193    
   0.0594  0.0512  23.963   0.6888  0.01040   179752  0.150   0.6300   0.9564   18.15       7.362      0.1189    
   0.0655  0.0469  22.122   0.6903  0.01038   180849  0.165   0.6316   0.9533   18.26       6.738      0.1186    
   0.0716  0.0430  20.613   0.6957  0.01041   180800  0.180   0.6325   0.9502   18.34       6.215      0.1184    
   0.0777  0.0398  19.335   0.7003  0.01042   181197  0.194   0.6327   0.9471   18.43       5.778      0.1184    
   0.0838  0.0370  18.247   0.7055  0.01044   181490  0.209   0.6324   0.9441   18.50       5.405      0.1184    
   0.0899  0.0345  17.314   0.7124  0.01050   180925  0.224   0.6321   0.9411   18.57       5.075      0.1185    
   0.0960  0.0321  16.508   0.7211  0.01059   179551  0.239   0.6320   0.9380   18.62       4.780      0.1185    
   0.1021  0.0299  15.806   0.7307  0.01071   177674  0.254   0.6318   0.9348   18.67       4.517      0.1185    
   0.1082  0.0279  15.185   0.7405  0.01084   175447  0.269   0.6317   0.9316   18.70       4.279      0.1186    
   0.1143  0.0260  14.623   0.7499  0.01099   172820  0.284   0.6318   0.9282   18.73       4.061      0.1186    
   0.1204  0.0242  14.109   0.7587  0.01116   169700  0.299   0.6323   0.9247   18.74       3.858      0.1185    
   0.1265  0.0226  13.660   0.7691  0.01137   166032  0.314   0.6325   0.9210   18.76       3.676      0.1184    
   0.1326  0.0210  13.302   0.7839  0.01165   161744  0.329   0.6321   0.9174   18.79       3.520      0.1185    
   0.1387  0.0194  12.980   0.7991  0.01198   156656  0.344   0.6318   0.9135   18.81       3.375      0.1186    
   0.1448  0.0179  12.563   0.8041  0.01227   150455  0.359   0.6344   0.9084   18.75       3.202      0.1181    
   0.1509  0.0163  12.019   0.7959  0.01251   142940  0.374   0.6405   0.9017   18.59       2.996      0.1169    
   0.1570  0.0148  11.730   0.8073  0.01301   134606  0.389   0.6419   0.8958   18.56       2.866      0.1167    
   0.1631  0.0133  12.143   0.8785  0.01435   126121  0.404   0.6283   0.8930   18.96       2.928      0.1192    
   0.1692  0.0118  12.780   0.9701  0.01655   115641  0.419   0.6108   0.8880   19.50       3.041      0.1226    
   0.1753  0.0097  12.237   0.9589  0.01772    98329  0.434   0.6206   0.8744   19.21       2.819      0.1207    
   0.1814  0.0066   9.310   0.7343  0.01718    69360  0.450   0.6973   0.8261   17.14       1.939      0.1074    
   0.1875  0.0025   3.759   0.2522  0.03381    26760  0.465   0.9025   0.3818   13.29      0.4683      0.8300E-01
