 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   4286.      0.000   48.54       2.005       900.0      24.535   41.1973   0.8904   0.6472   0.08421  0.1232E-01  0.1603E-02   7.8553   0.5762   1011.       582.5       0.5868  0.9290E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0686  0.0801  27.959   0.4801  0.01017   181356  0.097   0.7750   0.9494   14.78       5.406      0.1087    
   0.0787  0.0772  25.005   0.4748  0.00977   197438  0.109   0.7697   0.9468   15.01       5.050      0.1094    
   0.0889  0.0742  22.596   0.4684  0.00946   212150  0.122   0.7650   0.9436   15.19       4.722      0.1101    
   0.0991  0.0713  20.708   0.4685  0.00917   225375  0.135   0.7589   0.9412   15.38       4.474      0.1110    
   0.1092  0.0684  19.223   0.4749  0.00892   237043  0.148   0.7514   0.9397   15.59       4.289      0.1121    
   0.1194  0.0656  18.001   0.4836  0.00870   247112  0.161   0.7440   0.9385   15.79       4.129      0.1132    
   0.1295  0.0627  16.959   0.4925  0.00852   255677  0.174   0.7372   0.9372   15.97       3.979      0.1142    
   0.1397  0.0600  16.066   0.5019  0.00837   263015  0.187   0.7308   0.9360   16.14       3.840      0.1152    
   0.1499  0.0574  15.299   0.5119  0.00825   269300  0.201   0.7247   0.9348   16.30       3.714      0.1162    
   0.1600  0.0548  14.635   0.5230  0.00816   273932  0.214   0.7191   0.9337   16.45       3.596      0.1171    
   0.1702  0.0520  14.056   0.5356  0.00812   275970  0.227   0.7143   0.9324   16.58       3.476      0.1179    
   0.1803  0.0490  13.542   0.5492  0.00812   275346  0.240   0.7105   0.9310   16.68       3.353      0.1185    
   0.1905  0.0460  13.076   0.5626  0.00815   273166  0.254   0.7076   0.9292   16.77       3.230      0.1190    
   0.2007  0.0433  12.646   0.5746  0.00820   270507  0.267   0.7050   0.9273   16.85       3.112      0.1194    
   0.2108  0.0408  12.273   0.5874  0.00826   267192  0.280   0.7023   0.9254   16.93       3.009      0.1199    
   0.2210  0.0382  11.980   0.6039  0.00836   262615  0.293   0.6988   0.9238   17.02       2.924      0.1205    
   0.2311  0.0357  11.718   0.6204  0.00849   256516  0.307   0.6957   0.9219   17.11       2.841      0.1210    
   0.2413  0.0333  11.361   0.6269  0.00863   249083  0.320   0.6955   0.9185   17.12       2.729      0.1211    
   0.2515  0.0308  10.879   0.6203  0.00877   240215  0.333   0.6987   0.9130   17.06       2.584      0.1205    
   0.2616  0.0281  10.637   0.6322  0.00902   228377  0.347   0.6974   0.9093   17.10       2.502      0.1208    
   0.2718  0.0251  11.059   0.7016  0.00965   211436  0.360   0.6828   0.9110   17.46       2.580      0.1233    
   0.2819  0.0214  11.700   0.7953  0.01093   186841  0.373   0.6677   0.9100   17.85       2.666      0.1261    
   0.2921  0.0167  11.249   0.7993  0.01218   151562  0.387   0.6825   0.8961   17.48       2.409      0.1234    
   0.3023  0.0109   8.581   0.6059  0.01338   102570  0.400   0.7617   0.8381   15.70       1.569      0.1105    
   0.3124  0.0039   3.471   0.1671  0.03252    38254  0.414   0.9441   0.3122   12.70      0.2879      0.8919E-01
