 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   9129.      0.000   26.27      0.5754       550.1      48.659   12.7481   0.8867   0.5730   0.06589  0.1134E-01  0.1304E-02  10.8064   0.5081   620.3       315.2       0.5614  0.1085E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0411  0.0600  23.943   0.4013  0.01114   168780  0.120   0.7045   0.9284   16.24       6.448      0.9353E-01
   0.0472  0.0582  21.338   0.3937  0.01069   186076  0.137   0.6964   0.9239   16.57       6.005      0.9462E-01
   0.0533  0.0552  19.237   0.3909  0.01039   198087  0.153   0.6906   0.9193   16.82       5.574      0.9541E-01
   0.0594  0.0512  17.617   0.3988  0.01016   203907  0.170   0.6850   0.9164   17.04       5.209      0.9619E-01
   0.0655  0.0469  16.364   0.4151  0.00998   205189  0.187   0.6793   0.9152   17.25       4.905      0.9701E-01
   0.0716  0.0430  15.347   0.4331  0.00984   205165  0.204   0.6736   0.9143   17.45       4.643      0.9782E-01
   0.0777  0.0398  14.484   0.4495  0.00971   205646  0.221   0.6681   0.9131   17.63       4.415      0.9862E-01
   0.0838  0.0370  13.752   0.4655  0.00961   206006  0.238   0.6628   0.9120   17.81       4.215      0.9941E-01
   0.0899  0.0345  13.126   0.4821  0.00955   205387  0.255   0.6580   0.9108   17.97       4.031      0.1001    
   0.0960  0.0321  12.588   0.4995  0.00952   203847  0.272   0.6538   0.9095   18.11       3.860      0.1008    
   0.1021  0.0299  12.120   0.5170  0.00952   201734  0.289   0.6499   0.9081   18.24       3.702      0.1014    
   0.1082  0.0279  11.706   0.5342  0.00955   199221  0.306   0.6465   0.9065   18.36       3.555      0.1019    
   0.1143  0.0260  11.334   0.5510  0.00962   196251  0.323   0.6436   0.9045   18.46       3.416      0.1024    
   0.1204  0.0242  10.995   0.5673  0.00971   192720  0.340   0.6413   0.9022   18.54       3.282      0.1028    
   0.1265  0.0226  10.697   0.5843  0.00983   188565  0.357   0.6391   0.8999   18.62       3.159      0.1031    
   0.1326  0.0210  10.452   0.6032  0.00999   183707  0.374   0.6368   0.8975   18.70       3.048      0.1035    
   0.1387  0.0194  10.231   0.6224  0.01020   177937  0.391   0.6349   0.8948   18.76       2.942      0.1038    
   0.1448  0.0179   9.969   0.6367  0.01045   170899  0.408   0.6351   0.8907   18.77       2.819      0.1038    
   0.1509  0.0163   9.648   0.6448  0.01075   162364  0.425   0.6378   0.8848   18.70       2.676      0.1033    
   0.1570  0.0148   9.457   0.6623  0.01114   152904  0.442   0.6377   0.8798   18.71       2.576      0.1033    
   0.1631  0.0133   9.613   0.7081  0.01177   143282  0.459   0.6283   0.8788   18.99       2.583      0.1049    
   0.1692  0.0118   9.784   0.7549  0.01265   131396  0.476   0.6186   0.8757   19.29       2.596      0.1065    
   0.1753  0.0097   9.090   0.7262  0.01346   111731  0.494   0.6347   0.8571   18.82       2.342      0.1038    
   0.1814  0.0066   6.779   0.5528  0.01518    78802  0.511   0.7123   0.7776   16.80       1.591      0.9250E-01
   0.1875  0.0025   2.701   0.2021  0.03438    30400  0.528   0.9047   0.2993   13.26      0.4022      0.7283E-01
