 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   5574.      0.000   38.81       1.517       885.4      30.848   31.4803   0.9117   0.5259   0.10792  0.4494E-01  0.9222E-02  14.4521   0.4795   971.1       465.7       0.5774  0.9865E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0411  0.0679  46.444   0.7697  0.01334   120587  0.076   0.5442   0.9658   17.45       16.01      0.1983    
   0.0472  0.0692  41.145   0.6976  0.01190   138629  0.086   0.5587   0.9656   17.90       14.40      0.1932    
   0.0533  0.0686  36.737   0.6419  0.01104   153603  0.096   0.5710   0.9638   18.19       12.94      0.1890    
   0.0594  0.0666  33.189   0.6060  0.01055   164793  0.106   0.5802   0.9615   18.41       11.72      0.1860    
   0.0655  0.0645  30.344   0.5814  0.01021   174832  0.116   0.5854   0.9592   18.60       10.77      0.1843    
   0.0716  0.0639  28.016   0.5565  0.00982   188312  0.126   0.5862   0.9569   18.83       10.07      0.1841    
   0.0777  0.0646  26.071   0.5308  0.00940   205735  0.136   0.5836   0.9546   19.10       9.566      0.1849    
   0.0838  0.0647  24.427   0.5128  0.00910   221392  0.146   0.5805   0.9525   19.36       9.125      0.1859    
   0.0899  0.0627  23.015   0.5077  0.00895   229508  0.157   0.5791   0.9506   19.55       8.668      0.1864    
   0.0960  0.0594  21.801   0.5114  0.00889   231752  0.167   0.5786   0.9490   19.69       8.221      0.1865    
   0.1021  0.0562  20.762   0.5181  0.00886   232790  0.177   0.5776   0.9476   19.82       7.833      0.1868    
   0.1082  0.0536  19.850   0.5237  0.00881   234906  0.187   0.5757   0.9462   19.97       7.506      0.1874    
   0.1143  0.0512  18.988   0.5266  0.00877   236984  0.198   0.5744   0.9446   20.10       7.190      0.1879    
   0.1204  0.0488  18.148   0.5270  0.00875   237763  0.208   0.5745   0.9424   20.17       6.862      0.1878    
   0.1265  0.0464  17.482   0.5339  0.00875   237229  0.219   0.5729   0.9410   20.28       6.606      0.1884    
   0.1326  0.0440  17.177   0.5582  0.00877   235771  0.229   0.5657   0.9417   20.57       6.514      0.1908    
   0.1387  0.0417  17.132   0.5958  0.00885   233303  0.239   0.5547   0.9436   20.99       6.530      0.1946    
   0.1448  0.0393  16.959   0.6250  0.00899   229115  0.249   0.5472   0.9439   21.30       6.466      0.1972    
   0.1509  0.0366  16.423   0.6306  0.00914   222636  0.260   0.5474   0.9416   21.34       6.218      0.1971    
   0.1570  0.0339  15.931   0.6360  0.00932   214537  0.270   0.5474   0.9390   21.38       5.994      0.1971    
   0.1631  0.0313  16.012   0.6726  0.00965   205813  0.281   0.5361   0.9393   21.84       6.047      0.2013    
   0.1692  0.0284  16.192   0.7141  0.01017   193044  0.291   0.5235   0.9391   22.37       6.142      0.2062    
   0.1753  0.0237  14.998   0.6745  0.01070   167480  0.302   0.5406   0.9286   21.74       5.551      0.1996    
   0.1814  0.0164  11.166   0.4793  0.01250   120146  0.313   0.6352   0.8685   18.68       3.651      0.1699    
   0.1875  0.0062   4.445   0.0895  0.03369    46958  0.324   0.9243   0.2289   12.97      0.5083      0.1168    
