 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   6436.      0.000   34.41       1.164       784.7      35.048   24.4668   0.9151   0.5262   0.09346  0.2989E-01  0.5310E-02  13.2343   0.4815   857.5       412.9       0.3771  0.1007E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0411  0.0679  33.987   0.3865  0.01246   138968  0.087   0.6518   0.9333   16.45       10.18      0.1434    
   0.0472  0.0692  29.850   0.3486  0.01211   159882  0.099   0.6584   0.9241   16.69       9.137      0.1420    
   0.0533  0.0686  26.504   0.3214  0.01190   177169  0.110   0.6639   0.9141   16.85       8.232      0.1408    
   0.0594  0.0666  23.914   0.3080  0.01170   190056  0.122   0.6657   0.9064   17.01       7.550      0.1404    
   0.0655  0.0645  21.913   0.3029  0.01144   201626  0.134   0.6633   0.9014   17.22       7.076      0.1409    
   0.0716  0.0639  20.303   0.2975  0.01110   217207  0.145   0.6572   0.8973   17.48       6.760      0.1422    
   0.0777  0.0646  18.960   0.2903  0.01073   237368  0.157   0.6489   0.8935   17.77       6.542      0.1440    
   0.0838  0.0647  17.833   0.2872  0.01039   255482  0.169   0.6404   0.8909   18.07       6.359      0.1460    
   0.0899  0.0627  16.878   0.2917  0.01014   264855  0.181   0.6334   0.8902   18.33       6.160      0.1476    
   0.0960  0.0594  16.060   0.3015  0.00995   267434  0.193   0.6276   0.8908   18.55       5.956      0.1489    
   0.1021  0.0562  15.346   0.3122  0.00978   268631  0.204   0.6221   0.8916   18.76       5.767      0.1502    
   0.1082  0.0536  14.719   0.3220  0.00961   271080  0.216   0.6162   0.8923   18.98       5.607      0.1517    
   0.1143  0.0512  14.170   0.3321  0.00945   273469  0.228   0.6101   0.8932   19.20       5.468      0.1532    
   0.1204  0.0488  13.690   0.3434  0.00930   274337  0.240   0.6043   0.8944   19.41       5.338      0.1547    
   0.1265  0.0464  13.248   0.3548  0.00919   273725  0.252   0.5993   0.8952   19.60       5.206      0.1560    
   0.1326  0.0440  12.815   0.3647  0.00911   272131  0.264   0.5955   0.8952   19.76       5.060      0.1570    
   0.1387  0.0417  12.419   0.3745  0.00906   269415  0.276   0.5919   0.8950   19.90       4.921      0.1579    
   0.1448  0.0393  12.146   0.3901  0.00899   264639  0.288   0.5866   0.8966   20.10       4.830      0.1593    
   0.1509  0.0366  12.078   0.4170  0.00890   257084  0.300   0.5773   0.9015   20.43       4.822      0.1619    
   0.1570  0.0339  12.255   0.4577  0.00881   247634  0.312   0.5629   0.9093   20.95       4.922      0.1660    
   0.1631  0.0313  12.686   0.5116  0.00878   237543  0.324   0.5427   0.9182   21.72       5.144      0.1722    
   0.1692  0.0284  12.883   0.5509  0.00902   222838  0.336   0.5288   0.9209   22.28       5.248      0.1767    
   0.1753  0.0237  11.862   0.5204  0.00972   193305  0.348   0.5472   0.9054   21.60       4.716      0.1708    
   0.1814  0.0164   8.785   0.3731  0.01265   138584  0.361   0.6407   0.8146   18.58       3.105      0.1459    
   0.1875  0.0062   3.484   0.0791  0.03197    54140  0.373   0.9177   0.1953   13.07      0.4835      0.1018    
