 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   3720.      0.000   52.35       2.503       975.0      22.032   51.0967   0.8661   0.6443   0.09702  0.1764E-01  0.2656E-02   8.3435   0.5580   1126.       628.1       0.8453  0.1146E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0686  0.0801  38.251   0.9467  0.01371   159683  0.085   0.6979   0.9689   15.67       8.577      0.1390    
   0.0787  0.0772  34.345   0.9103  0.01265   173290  0.096   0.7001   0.9682   15.92       7.830      0.1386    
   0.0889  0.0742  31.092   0.8746  0.01178   185792  0.107   0.7019   0.9670   16.10       7.164      0.1382    
   0.0991  0.0713  28.467   0.8487  0.01115   197056  0.118   0.7019   0.9655   16.26       6.620      0.1382    
   0.1092  0.0684  26.343   0.8323  0.01072   207008  0.129   0.7006   0.9640   16.41       6.179      0.1385    
   0.1194  0.0656  24.571   0.8212  0.01040   215603  0.141   0.6987   0.9623   16.55       5.800      0.1389    
   0.1295  0.0627  23.054   0.8128  0.01016   222915  0.152   0.6969   0.9606   16.67       5.464      0.1392    
   0.1397  0.0600  21.750   0.8069  0.00997   229180  0.163   0.6950   0.9588   16.78       5.167      0.1396    
   0.1499  0.0574  20.622   0.8032  0.00982   234546  0.175   0.6930   0.9569   16.89       4.906      0.1400    
   0.1600  0.0548  19.638   0.8019  0.00973   238489  0.186   0.6911   0.9550   16.98       4.669      0.1404    
   0.1702  0.0520  18.769   0.8031  0.00971   240189  0.198   0.6899   0.9529   17.05       4.441      0.1406    
   0.1803  0.0490  17.995   0.8066  0.00975   239584  0.209   0.6895   0.9506   17.09       4.220      0.1407    
   0.1905  0.0460  17.308   0.8115  0.00983   237635  0.221   0.6893   0.9482   17.13       4.016      0.1407    
   0.2007  0.0433  16.697   0.8169  0.00992   235274  0.232   0.6889   0.9458   17.16       3.835      0.1408    
   0.2108  0.0408  16.136   0.8216  0.01002   232352  0.244   0.6885   0.9432   17.19       3.668      0.1409    
   0.2210  0.0382  15.597   0.8242  0.01013   228342  0.255   0.6887   0.9404   17.21       3.506      0.1409    
   0.2311  0.0357  15.103   0.8271  0.01028   223014  0.267   0.6891   0.9374   17.22       3.355      0.1408    
   0.2413  0.0333  14.725   0.8364  0.01052   216519  0.278   0.6881   0.9343   17.26       3.236      0.1410    
   0.2515  0.0308  14.538   0.8590  0.01094   208766  0.290   0.6840   0.9315   17.37       3.169      0.1418    
   0.2616  0.0281  14.629   0.9041  0.01174   198439  0.301   0.6760   0.9285   17.58       3.166      0.1435    
   0.2718  0.0251  15.056   0.9798  0.01328   183699  0.313   0.6642   0.9243   17.90       3.218      0.1461    
   0.2819  0.0214  15.256   1.0400  0.01519   162332  0.324   0.6599   0.9167   18.02       3.166      0.1470    
   0.2921  0.0167  14.040   0.9796  0.01568   131694  0.336   0.6858   0.9035   17.37       2.722      0.1415    
   0.3023  0.0109  10.397   0.7013  0.01486    89132  0.348   0.7731   0.8591   15.46       1.691      0.1255    
   0.3124  0.0039   4.123   0.1569  0.03551    33242  0.360   0.9567   0.3056   12.54      0.2528      0.1014    
