 
# QPROP Version 1.22
# 
# Helice                                                                          
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.48000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.3000      motor parameter 2 ,  Io (Amps) 
#    190.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  12.000   2972.      0.000   43.76       2.555       795.2      18.145   52.1384   0.8406   0.6603   0.12144  0.2310E-01  0.4249E-02   7.2248   0.5551   946.0       525.1       0.5566  0.1141E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0686  0.0537  39.613   0.6488  0.01448    89681  0.071   0.7510   0.9548   14.55       7.474      0.1617    
   0.0787  0.0579  34.715   0.5540  0.01296   108048  0.080   0.7603   0.9504   14.67       6.695      0.1597    
   0.0889  0.0600  30.848   0.4923  0.01225   123773  0.088   0.7672   0.9444   14.76       6.034      0.1583    
   0.0991  0.0599  27.959   0.4643  0.01185   135799  0.097   0.7689   0.9397   14.87       5.582      0.1579    
   0.1092  0.0586  25.779   0.4581  0.01152   144689  0.106   0.7665   0.9372   15.02       5.284      0.1584    
   0.1194  0.0568  23.991   0.4584  0.01124   151978  0.114   0.7630   0.9354   15.16       5.042      0.1592    
   0.1295  0.0550  22.434   0.4582  0.01100   158576  0.123   0.7599   0.9334   15.29       4.815      0.1598    
   0.1397  0.0531  21.104   0.4604  0.01079   164289  0.132   0.7564   0.9316   15.41       4.617      0.1605    
   0.1499  0.0511  19.988   0.4664  0.01061   168906  0.141   0.7523   0.9303   15.54       4.452      0.1614    
   0.1600  0.0491  19.011   0.4736  0.01046   172544  0.150   0.7484   0.9292   15.65       4.298      0.1623    
   0.1702  0.0471  18.092   0.4778  0.01035   175454  0.159   0.7460   0.9273   15.74       4.129      0.1628    
   0.1803  0.0451  17.268   0.4821  0.01026   177763  0.168   0.7437   0.9254   15.82       3.970      0.1633    
   0.1905  0.0432  16.696   0.4977  0.01015   179422  0.178   0.7382   0.9256   15.96       3.891      0.1645    
   0.2007  0.0413  16.465   0.5324  0.01004   180388  0.187   0.7272   0.9287   16.21       3.924      0.1670    
   0.2108  0.0395  16.379   0.5743  0.01003   180691  0.196   0.7150   0.9319   16.49       3.984      0.1699    
   0.2210  0.0376  16.174   0.6056  0.01009   180368  0.205   0.7064   0.9330   16.70       3.977      0.1719    
   0.2311  0.0358  15.755   0.6192  0.01015   179188  0.214   0.7031   0.9317   16.80       3.876      0.1727    
   0.2413  0.0338  15.197   0.6203  0.01023   176592  0.223   0.7039   0.9288   16.80       3.712      0.1725    
   0.2515  0.0317  14.617   0.6175  0.01035   172173  0.232   0.7064   0.9249   16.76       3.530      0.1719    
   0.2616  0.0295  14.284   0.6300  0.01056   166521  0.242   0.7045   0.9226   16.82       3.432      0.1724    
   0.2718  0.0273  14.468   0.6776  0.01095   160458  0.251   0.6915   0.9239   17.14       3.520      0.1756    
   0.2819  0.0249  14.660   0.7244  0.01156   151178  0.260   0.6788   0.9236   17.46       3.604      0.1789    
   0.2921  0.0209  13.571   0.6779  0.01209   131565  0.269   0.6969   0.9108   17.04       3.206      0.1743    
   0.3023  0.0145  10.097   0.4554  0.01428    94490  0.279   0.7866   0.8338   15.17       1.942      0.1544    
   0.3124  0.0055   4.017   0.0063  0.04419    36958  0.288   0.9973   0.0024   12.03      0.1867E-01  0.1218    
